id,visitors
air_00a91d42b08b08d9_2017-04-23,1.250
air_00a91d42b08b08d9_2017-04-24,20.446
air_00a91d42b08b08d9_2017-04-25,22.451
air_00a91d42b08b08d9_2017-04-26,25.974
air_00a91d42b08b08d9_2017-04-27,27.857
air_00a91d42b08b08d9_2017-04-28,34.209
air_00a91d42b08b08d9_2017-04-29,11.506
air_00a91d42b08b08d9_2017-04-30,1.250
air_00a91d42b08b08d9_2017-05-01,20.446
air_00a91d42b08b08d9_2017-05-02,22.451
air_00a91d42b08b08d9_2017-05-03,25.974
air_00a91d42b08b08d9_2017-05-04,27.857
air_00a91d42b08b08d9_2017-05-05,34.209
air_00a91d42b08b08d9_2017-05-06,11.506
air_00a91d42b08b08d9_2017-05-07,1.250
air_00a91d42b08b08d9_2017-05-08,20.446
air_00a91d42b08b08d9_2017-05-09,22.451
air_00a91d42b08b08d9_2017-05-10,25.974
air_00a91d42b08b08d9_2017-05-11,27.857
air_00a91d42b08b08d9_2017-05-12,34.209
air_00a91d42b08b08d9_2017-05-13,11.506
air_00a91d42b08b08d9_2017-05-14,1.250
air_00a91d42b08b08d9_2017-05-15,20.446
air_00a91d42b08b08d9_2017-05-16,22.451
air_00a91d42b08b08d9_2017-05-17,25.974
air_00a91d42b08b08d9_2017-05-18,27.857
air_00a91d42b08b08d9_2017-05-19,34.209
air_00a91d42b08b08d9_2017-05-20,11.506
air_00a91d42b08b08d9_2017-05-21,1.250
air_00a91d42b08b08d9_2017-05-22,20.446
air_00a91d42b08b08d9_2017-05-23,22.451
air_00a91d42b08b08d9_2017-05-24,25.974
air_00a91d42b08b08d9_2017-05-25,27.857
air_00a91d42b08b08d9_2017-05-26,34.209
air_00a91d42b08b08d9_2017-05-27,11.506
air_00a91d42b08b08d9_2017-05-28,1.250
air_00a91d42b08b08d9_2017-05-29,20.446
air_00a91d42b08b08d9_2017-05-30,22.451
air_00a91d42b08b08d9_2017-05-31,25.974
air_0164b9927d20bcc3_2017-04-23,0.000
air_0164b9927d20bcc3_2017-04-24,6.273
air_0164b9927d20bcc3_2017-04-25,8.192
air_0164b9927d20bcc3_2017-04-26,8.227
air_0164b9927d20bcc3_2017-04-27,8.507
air_0164b9927d20bcc3_2017-04-28,10.041
air_0164b9927d20bcc3_2017-04-29,5.014
air_0164b9927d20bcc3_2017-04-30,0.000
air_0164b9927d20bcc3_2017-05-01,6.273
air_0164b9927d20bcc3_2017-05-02,8.192
air_0164b9927d20bcc3_2017-05-03,8.227
air_0164b9927d20bcc3_2017-05-04,8.507
air_0164b9927d20bcc3_2017-05-05,10.041
air_0164b9927d20bcc3_2017-05-06,5.014
air_0164b9927d20bcc3_2017-05-07,0.000
air_0164b9927d20bcc3_2017-05-08,6.273
air_0164b9927d20bcc3_2017-05-09,8.192
air_0164b9927d20bcc3_2017-05-10,8.227
air_0164b9927d20bcc3_2017-05-11,8.507
air_0164b9927d20bcc3_2017-05-12,10.041
air_0164b9927d20bcc3_2017-05-13,8.604
air_0164b9927d20bcc3_2017-05-14,0.000
air_0164b9927d20bcc3_2017-05-15,6.273
air_0164b9927d20bcc3_2017-05-16,8.192
air_0164b9927d20bcc3_2017-05-17,8.227
air_0164b9927d20bcc3_2017-05-18,8.507
air_0164b9927d20bcc3_2017-05-19,10.041
air_0164b9927d20bcc3_2017-05-20,5.014
air_0164b9927d20bcc3_2017-05-21,0.000
air_0164b9927d20bcc3_2017-05-22,6.273
air_0164b9927d20bcc3_2017-05-23,8.192
air_0164b9927d20bcc3_2017-05-24,8.227
air_0164b9927d20bcc3_2017-05-25,8.507
air_0164b9927d20bcc3_2017-05-26,10.041
air_0164b9927d20bcc3_2017-05-27,5.014
air_0164b9927d20bcc3_2017-05-28,0.000
air_0164b9927d20bcc3_2017-05-29,6.273
air_0164b9927d20bcc3_2017-05-30,8.192
air_0164b9927d20bcc3_2017-05-31,8.227
air_0241aa3964b7f861_2017-04-23,9.359
air_0241aa3964b7f861_2017-04-24,7.582
air_0241aa3964b7f861_2017-04-25,6.975
air_0241aa3964b7f861_2017-04-26,8.487
air_0241aa3964b7f861_2017-04-27,4.357
